tamano;antiguedad;barrio;precio
115.336;63;E;271.5
132.597;66;E;300.0
234.558;17;N;509.8
209.916;39;N;394.0
212.105;15;N;540.0
142.303;14;E;415.0
92.197;69;E;230.0
218.268;18;E;560.0
117.838;48;E;294.0
375.025;94;N;718.2
89.796;77;E;200.0
136.478;17;N;302.0
165.67;19;E;468.0
158.544;22;E;374.2
130.556;16;E;388.0
130.497;66;E;282.0
98.342;19;E;311.8
202.116;21;N;401.0
196.376;18;N;449.8
111.352;50;E;301.0
194.015;21;E;502.0
117.549;34;E;340.0
158.628;14;E;400.282
187.976;21;E;572.0
109.813;73;E;264.0
129.556;39;E;304.0
109.024;56;E;298.0
104.855;60;E;219.8
180.099;14;E;490.7
128.696;105;E;216.96
171.497;23;N;368.2
131.41;58;E;280.0
220.85;13;N;526.87
143.033;75;N;237.0
284.614;17;N;562.426
132.681;19;E;369.8
218.792;20;N;460.0
224.184;55;N;374.0
187.164;19;N;390.0
118.902;90;N;158.0
203.763;30;N;426.0
237.987;47;N;390.0
192.941;109;N;277.774
119.851;113;E;216.96
183.402;16;E;425.8
220.511;17;N;504.0
143.545;11;N;329.0
184.468;15;E;464.0
88.988;59;E;220.0
158.926;23;E;358.0
176.708;14;E;478.0
157.191;61;E;334.0
160.942;16;E;426.98
123.773;26;E;290.0
189.459;27;N;463.0
127.948;14;E;390.8
166.273;25;N;354.0
193.653;100;N;350.0
192.4;19;E;460.0
119.385;59;E;237.0
133.593;17;N;288.304
124.446;62;E;282.0
96.728;40;E;249.0
109.906;29;E;304.0
158.315;71;E;332.0
189.669;30;N;351.8
129.416;64;E;310.0
115.297;108;E;216.96
294.346;21;N;666.336
162.664;59;E;330.0
247.778;25;N;480.0
217.747;54;N;330.3
176.639;15;N;348.0
118.106;26;E;304.0
162.398;22;E;384.0
140.082;54;E;316.0
167.369;13;N;430.4
223.984;24;N;450.0
120.904;58;E;284.0
137.716;99;E;275.0
153.228;18;E;414.0
115.527;54;E;258.0
173.357;17;N;378.0
170.275;29;N;350.0
127.473;16;E;412.0
181.884;16;N;373.0
101.383;47;E;225.0
214.122;47;N;390.0
117.528;66;E;267.4
173.72;18;E;464.0
92.176;81;E;174.0
154.052;22;N;340.0
188.891;69;E;430.0
169.504;18;E;440.0
109.9;52;E;216.0
131.543;12;N;329.0
173.329;45;E;388.0
178.774;18;N;390.0
129.119;21;E;356.0
114.121;62;E;257.8
